BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
Miller Kaplan Arase LLP;CA;7/10/2019;Electronic;Business;7,916;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-28.pdf#
Community Physicians Group;AR;6/17/2019;Electronic;Medical/Healthcare;5,400;www.cpgclinics.com;#http://www.cpgclinics.com/UserFiles/Servers/Server_487421/Templates/PDF/Notice%20-%20Letterhead%20Update%20
Northwood, Inc.;MI;7/12/2019;Electronic;Medical/Healthcare;86,050;northwoodinc.com;#https://northwoodinc.com/notice-of-data-privacy-event/#
Los Angeles County Department of Health Services (service provider Nemadji);CA;7/8/2019;Electronic;Government/Military;14,591;file.lacounty.gov;#http://file.lacounty.gov/SDSInter/dhs/1058017_NemadjiBreach-DHSSubstituteNoticeEnglish7-3-19.pdf#
Edgar Snyder & Associates, LLC;PA;6/5/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-14.pdf#
BBX Capital;FL;7/3/2019;Electronic;Business;980;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-18.pdf#
Implant Direct;CA;7/5/2019;Electronic;Business;80;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-20.pdf#
American Kennel Club;NY;7/5/2019;Electronic;Business;1,048;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-21.pdf#
Ameritas Life Insurance Corporation (reported on 7/8/2019);NE;7/8/2019;Electronic;Business;40,000;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-22.pdf#
University of Nebraska - Lincoln (reported on 7/10/2019);NE;7/10/2019;Electronic;Education;896;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-26.pdf#
Wise Health System;TX;7/1/2019;Electronic;Medical/Healthcare;35,899;www.wisehealthsystem.com;#https://www.wisehealthsystem.com/notice-of-privacy-incident/#
Intrepid Benefits, Inc.;CO;7/9/2019;Electronic;Business;2,208;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/09/intrepid-benefits-inc-notice-of-data-breach-to-consumers/#
Inter-Continental Cigar Corporation;FL;7/5/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/05/inter-continental-cigar-corporation-notice-of-data-breach-to-consumers/#
SkinSolutions MD CA 7/3/2019 Electronic Business 9,113;MD;7/3/2019;Electronic;Business;9,113;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/03/skinsolutions-md-notice-of-data-breach-to-consumers/#
Gettysburg Flag Works;NY;7/3/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/09/gettysburg-flag-works-notice-of-data-breach-to-consumers/#
Memorial Hermann Health System (reported on 7/2/2019);TX;7/2/2019;Electronic;Medical/Healthcare;507;www.memorialhermann.org;#http://www.memorialhermann.org/news/web-notice-to-memorial-hermann-patients-regarding-potential-impact-to-prote
Wyoming Department of Health (reported on 6/25/2019);WY;6/25/2019;Electronic;Medical/Healthcare;2,154;health.wyo.gov;#https://health.wyo.gov/potential-exposure-of-local-senior-information-described/#
Delta Health Systems - Turlock Irrigation District employees;CA;6/4/2019;Electronic;Medical/Healthcare;Unknown;hipaajournal.com;#https://www.hipaajournal.com/delta-health-systems-alerts-plan-members-to-exposure-of-ssns-over-internet/#
Quantum Vision Centers and Eye Surgery Center;IL;6/24/2019;Electronic;Medical/Healthcare;Unknown;www.quantumvisioncenters.com;#https://www.quantumvisioncenters.com/data/#
Florida Department of Children and Family Services;FL;7/2/2019;Electronic;Government/Military;2,000;www.wtsp.com;#https://www.wtsp.com/article/news/crime/detectives-dcf-employee-stole-victim-ids-used-in-organized-crime-ring/67-f3
Delaware Life Insurance Company (service provider Mediant Communications Inc.);DE;6/21/2019;Electronic;Business;7,877;www.mass.gov;#https://www.mass.gov/files/documents/2019/06/28/15281.pdf#
Pardee UNC Health Care;NC;7/2/2019;Paper Data;Medical/Healthcare;590;pardeehospital.org;#https://www.pardeehospital.org/possible-data-breach/#
Maryland Department of Labor;MD;7/5/2019;Electronic;Government/Military;78,000;dllr.state.md.us;#https://www.dllr.state.md.us/whatsnews/datahotline.shtml#
Alive Hospice (reported on 7/3/2019);TN;7/3/2019;Electronic;Medical/Healthcare;608;alivehospice.org;#https://www.alivehospice.org/notice-of-data-privacy-event#
Maritime Association - ILA Pension, Retiremnt, Welfare & Vacation;TX;2/20/2019;Electronic;Business;49,917;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Maritime-Association-Consumer-Letter.pdf#
VNS Federal Services;OH;5/21/2019;Electronic;Business;675;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Notice-to-Montana-Attorney-General-Office-of-Consumer-Protection
Medical Professional Home Healthcare Center - Chatham;IL;6/17/2019;Paper Data;Medical/Healthcare;Unknown;chicago.cbslocal.com;#https://chicago.cbslocal.com/2019/06/17/medical-files-blown-into-yards-after-medical-center-closes-has-some-worried
Wilmington University (third-party service provider PrismRBS);DE;6/24/2019;Electronic;Education;136;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT_Notification_Ltr.pdf#
PAR Electrical Contractors, Inc. (reported on 6/27/2019);MO;6/27/2019;Electronic;Business;982;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Notice-to-MT-AG.pdf#
Princess Polly Group;CA;5/30/2019;Electronic;Business;168,008;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/princess-polly-20190603.pdf#
Debco Construction;ID;6/28/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-20190628135910.pdf#
Prida, Guida and Perez, PA FL 6/28/2019 Electronic Business 666;PA;6/28/2019;Electronic;Business;666;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-2019-06-28-MT-Security-Incident-Notification-Prida-AG118606702_1.
City of Longmont;CO;6/29/2019;Electronic;Government/Military;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Longmont-Consumer-Notification-Letter.pdf#
Backcountry Edge, Inc.;PA;7/2/2019;Electronic;Business;12,109;oag.ca.gov;#https://oag.ca.gov/system/files/Notice%20of%20Data%20Breach%20-%2012%20month%20generic.pdf#
Cvent Inc.;VA;6/24/2019;Electronic;Business;3,100;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/24/cvent-inc-notice-of-data-breach-to-consumers/#
Forge Companies;UT;6/27/2019;Electronic;Business;1,095;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/27/forge-consulting-llc-notice-of-data-breach-to-consumers/#
Toyota and Lexus Financial Services;TX;6/27/2019;Electronic;Banking/Credit/Financial;1,793;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/27/toyota-and-lexus-financial-services-notice-of-data-breach-to-consumers/#
Kolbrenner & Alexander LLC;CT;7/1/2019;Electronic;Business;2,623;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/01/kolbrenner-alexander-sbn-to-consumers/#
Flexcare LLC;CA;7/1/2019;Electronic;Business;9,639;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/01/flexcare-llc-sbn-to-consumers/#
StatLab;TX;7/1/2019;Electronic;Business;103;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/01/statlab-notice-of-data-breach-to-consumers/#
Adirondacks ACO LLC;NY;7/2/2019;Electronic;Medical/Healthcare;25,000;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/07/02/adirondacks-aco-sbn-to-consumers/#
Huntridge Family Clinic;NV;6/18/2019;Paper Data;Medical/Healthcare;2,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
giftcardmall.com (IM Shopping Inc.) CA 6/14/2019 Electronic Business Unknown;IM;6/14/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/California%20Consumer%20Notice.pdf#
City College of San Francisco (reported on 6/25/2019);CA;6/25/2019;Electronic;Education;1,108;oag.ca.gov;#https://oag.ca.gov/system/files/CCSF%20CA%20CM%20Adult%20Notice.pdf#
Micro-Mom Scooters LLC dba Micro Kickboard;MI;6/27/2019;Electronic;Business;4,407;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20-%20Exhibit%201%20%28Notice%20Only%29.pdf#
Summa Health;OH;6/28/2019;Electronic;Medical/Healthcare;10,893;6/28/2019;#https://www.summahealth.org/pressroom/information-security-incident#
MedicareSupplement.com;NJ;6/27/2019;Electronic;Medical/Healthcare;Unknown;www.comparitech.com;#https://www.comparitech.com/blog/information-security/medicare-supplement-data-breach/#
Inform Diagnostics, Inc. (service provider American Medical Collection Agency);TX;6/14/2019;Electronic;Medical/Healthcare;173,617;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Brenda LaTowsky, M.D., PLC;AZ;6/17/2019;Electronic;Medical/Healthcare;1,282;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Boulevard Surgical Associates;CA;6/20/2019;Paper Data;Medical/Healthcare;542;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Addison County Home Health & Hospice;VT;6/25/2019;Electronic;Medical/Healthcare;758;achhh.org;#https://www.achhh.org/emailnotice.html#
Byham's Insurance Services Inc.;PA;6/27/2019;Electronic;Medical/Healthcare;1,600;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Borough of Westwood;NJ;6/25/2019;Electronic;Government/Military;Unknown;westwoodnj.gov;#https://www.westwoodnj.gov/vertical/Sites/%7BEFC400E6-A5E3-462B-B522-F7250102DEBD%7D/uploads/Website_Not
City of Sun Prairie;WI;6/25/2019;Electronic;Government/Military;Unknown;www.prnewswire.com;#https://www.prnewswire.com/news-releases/city-of-sun-prairie---notice-of-data-breach-300874813.html#
Nidec Motor Corporation;MO;6/3/2019;Electronic;Business;2,423;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Sacks Press & Lacher, P.C.;NY;5/21/2019;Electronic;Business;1,295;ww.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Massachusetts Department of Transportation’s Registry of Motor Vehicles (“MassDOT”);MA;5/28/2019;Electronic;Government/Military;7,202;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
dataxu, Inc.;MA;6/17/2019;Electronic;Business;494;www.maine.gov;-
Robert Wilson & Company Inc.;MA;6/19/2019;Electronic;Business;102;www.maine.gov;-
Hood & Associates, CPAs, PC OK 6/11/2019 Electronic Business 7,013;PC;6/11/2019;Electronic;Business;7,013;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
The National World War II Museum, Inc. LA 6/21/2019 Electronic Business 2,285;II;6/21/2019;Electronic;Business;2,285;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
National Aviation Academy;FL;6/20/2019;Electronic;Education;1,011;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Kurt J. Lesker Company;PA;6/24/2019;Electronic;Business;199;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Yogurtland;CA;6/24/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Yogurtland%20Notification.pdf#
Manning Silverman & Company;IL;6/6/2019;Electronic;Business;2,057;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Manning-Silverman-Consumer-Notification.pdf#
Nassau Educators Federal Credit Union;NY;6/7/2019;Electronic;Banking/Credit/Financial;86,773;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Nassau-Educators-Federal-Credit-Union-Consumer-Notification.pdf#
JD Bank LA 6/17/2019 Electronic Banking/Credit/Financial 39,827;JD;6/17/2019;Electronic;Banking/Credit/Financial;39,827;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/JD-Bank-Consumer-Notification.pdf#
Cincinnati Bell Inc.;OH;6/18/2019;Electronic;Business;3,395;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Cincinnati-Bell-Inc.-Barnes-Dennig-Co.-Ltd.-Consumer-Notification.pdf#
Wor-Wic Community College;MD;6/19/2019;Electronic;Education;10,682;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Wor-Wic-Community-College-Consumer-Notification.pdf#
Tessera Technologes, Inc. (collectively Xperi);CA;5/31/2019;Electronic;Business;502;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/tessera-technologies-20190606.pdf#
Brattleboro Savings & Loan Association;VT;5/31/2019;Electronic;Banking/Credit/Financial;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/brattleboro-savings-loan-20190604.pdf#
ShowMeCables;MO;6/19/2019;Electronic;Business;247;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/19/showmecables-notice-of-data-breach-to-consumers/#
Howard Center;VT;6/19/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/19/howard-center-notice-of-data-breach-to-consumers-2/#
Placer Union High School District (third- party Total Registration LLC);CA;5/17/2019;Electronic;Education;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/PUHSD%20Total%20Registration%20Data%20Vulnerability%20Parent%20Letter_%2005
EyeCare Partners, LLC [on behalf of affiliated covered entities];MO;6/19/2019;Electronic;Medical/Healthcare;141,165;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Franciscan Health (reported on 6/25/2019);IN;6/25/2019;Electronic;Medical/Healthcare;2,180;www.franciscanhealth.org;#https://www.franciscanhealth.org/news-and-events/news/franciscan-health-provides-notice-privacy-breach#
Sunshine State Health Plan, Inc. (reported on 6/7/2019);FL;6/7/2019;Electronic;Medical/Healthcare;2,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Elim Care (business associate Tenx Systems, LLC dba ResiDex Software);MN;6/7/2019;Electronic;Medical/Healthcare;2,500;www.elimcare.org;#http://www.elimcare.org/potential-residex-computer-breach/#
Shingle Springs Health and Wellness Center;CA;6/5/2019;Electronic;Medical/Healthcare;21,513;www.sshwc.org;#http://www.sshwc.org/wp-content/uploads/Data-Breach.pdf#
City of Georgetown Fire Department;TX;5/31/2019;Electronic;Government/Military;719;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
EatStreet - customers;WI;6/14/2019;Electronic;Business;6,353,564;oag.ca.gov;#https://oag.ca.gov/system/files/EatStreet%20Diner%20r3prf.pdf#
Tech Data Corporation;FL;6/6/2019;Electronic;Business;Unknown;techcrunch.com;#https://techcrunch.com/2019/06/06/tech-data-server-leak/#
Cornerstone Bank (reported on 6/3/2019);GA;6/3/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-8.pdf#
Umass Memorial Community Healthlink;MA;6/17/2019;Electronic;Medical/Healthcare;4,598;www.communityhealthlink.org;#http://www.communityhealthlink.org/chl/images/Files/CHL_Patient_Notice_6-17-2019.pdf#
Sunrise Laboratories (service provider American Medical Collection Agency) - credit card and bank account information;NY;6/14/2019;Electronic;Medical/Healthcare;15,000;www.zdnet.com;#https://www.zdnet.com/article/amca-data-breach-has-now-gone-over-the-20-million-mark/#
Carecentrix (service provider American Medical Collection Agency);CT;6/14/2019;Electronic;Medical/Healthcare;500,000;www.zdnet.com;#https://www.zdnet.com/article/amca-data-breach-has-now-gone-over-the-20-million-mark/#
Tenx Systems dba ResiDex Software;MN;6/18/2019;Electronic;Business;90,000;www.databreaches.net;#https://www.databreaches.net/ma-residex-software-discloses-ransomware-incident-affecting-clients-patients-protecte
Cerpassrx, LLC;TX;5/31/2019;Electronic;Medical/Healthcare;2,513;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Southern Maryland Medical Group LLC (third-party vendor Meditab Software Inc.);MD;6/7/2019;Electronic;Medical/Healthcare;1,400;smmgmd.com;#https://smmgmd.com/resources.html#
Temple University;PA;6/17/2019;Electronic;Education;160;temple-news.com;#https://temple-news.com/personal-information-of-160-students-exposed-for-three-weeks-on-temple-website/?fbclid=I
Washington Department of Health;WA;6/3/2019;Electronic;Government/Military;1,481;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-4.pdf#
Massachusetts Mutual Life Insurance Company (reported on 6/4/2019);MA;6/4/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-2.pdf#
HintonBurdick CPA & Advisors;UT;5/10/2019;Electronic;Business;6,579;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-4.pdf#
Desert Healthcare Services, LLC;AZ;6/11/2019;Electronic;Medical/Healthcare;8,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
RealtyShares;CA;6/5/2019;Electronic;Business;Unknown;www.mass.gov;#https://www.mass.gov/files/documents/2019/06/10/15195.pdf#
Capital City Paincare;OH;5/31/2019;Electronic;Medical/Healthcare;1,012;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Carlson Building Maintenance Inc.;MN;5/31/2019;Electronic;Business;6,789;www.iowaattorneygeneral.gov;#https://www.iowaattorneygeneral.gov/media/cms/53119_Carlson_Building_Maintenance__9396EE3DDBD73.pdf#
Takai, Hoover, and Hsu, P.A.;MD;5/29/2019;Electronic;Medical/Healthcare;16,542;www.thhpediatrics.com;#http://www.thhpediatrics.com/blog/uncategorized/notice-to-patients-and-parents-potential-breach-of-phi-and-personal
Apple Mortgage;CO;6/5/2019;Electronic;Banking/Credit/Financial;1,867;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/05/apple-mortgage-notice-of-data-breach-to-consumers/#
American Rental Association;IL;6/6/2019;Electronic;Business;641;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/06/american-rental-association-notice-of-data-breach-to-consumers/#
Calista Corporation;AK;6/7/2019;Electronic;Business;1,476;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/07/calista-corporation-notice-of-data-breach-to-consumers/#
Calcasieu Refining Company;LA;6/10/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/10/transworld-calcasieu-notice-of-data-breach-to-consumers/#
Winebow Group LLC;VA;6/11/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/11/winebow-group-llc-notice-of-data-breach-to-consumers/#
Keystone Peer Review Organization Inc. dba KEPRO;TN;6/12/2019;Electronic;Medical/Healthcare;299;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/12/keystone-peer-review-organization-inc-notice-of-data-breach-to-consumers/#
Flood Bumstead McCready and McCarthy Inc;TN;6/13/2019;Electronic;Business;647;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/06/13/flood-bumstead-mccready-and-mccarthy-inc-notice-of-data-breach-to-consu
Oregon State University;OR;6/14/2019;Electronic;Education;636;today.orgeon.edu;#https://today.oregonstate.edu/news/oregon-state-university-reports-it-security-incident#
Graceland University;IA;6/14/2019;Electronic;Education;Unknown;www.graceland.edu;#https://www.graceland.edu/notice-of-data-breach#
Special Health Resources for Texas Inc. dba Woman and Child Health Center of Longview;TX;5/21/2019;Electronic;Medical/Healthcare;567;specialhealth.org;#http://www.specialhealth.org/wp-content/uploads/2019/05/WCOL-HIPAA-Notice.pdf#
Hematology Oncology Associates, PC OR 5/21/2019 Electronic Medical/Healthcare 16,073;PC;5/21/2019;Electronic;Medical/Healthcare;16,073;www.hoapc.com;#https://www.hoapc.com/website-notice/#
Humana Inc (reported on 6/3/2019);KY;6/3/2019;Electronic;Medical/Healthcare;863;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Partington Plastic Surgery;WA;5/22/2019;Electronic;Medical/Healthcare;9,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Healthfirst;NY;5/24/2019;Paper Data;Medical/Healthcare;1,811;healthfirst.org;#https://healthfirst.org/healthfirst-reports-privacy-breach-impacting-1811-members/#
Kansas City VAMC;MO;6/11/2019;Paper Data;Medical/Healthcare;534;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Sunshine Family Dentistry;TX;5/27/2019;Electronic;Medical/Healthcare;800;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Jcrush;NY;6/4/2019;Electronic;Business;Unknown;vpnmentor.com;#https://www.vpnmentor.com/blog/report-jcrush/#
White Sox;IL;6/7/2019;Electronic;Business;Unknown;ticketnews.com;#https://chicago.suntimes.com/news/2019/6/7/18656963/white-sox-tickets-email-exposed-data-breach#
Hopkins County Schools;KY;6/10/2019;Electronic;Education;7,000;the-messenger.com;#https://www.the-messenger.com/news/local/article_be9a823f-e7f8-59c8-8668-16289301d8e3.html#
ClearBridge Investments LLC;NY;3/21/2019;Electronic;Banking/Credit/Financial;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311070.pdf#
John Hancock Financial Network (former subsidiary Signator Investors Inc.);MA;3/21/2019;Electronic;Banking/Credit/Financial;777;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311069.pdf#
Corporate Environmental Risk Management LLC (CERM);GA;3/18/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311181.pdf#
1031 CORP.;PA;3/22/2019;Electronic;Banking/Credit/Financial;Unknown;maryladnattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311072.pdf#
Tower Legal Solutions;NY;3/22/2019;Electronic;Business;1,559;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-310078.pdf#
TaxAct Inc.;IA;3/26/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311073.PDF#
Paramount Insurance Company;MD;3/26/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-309902.pdf#
Champion Title and Settlements Inc.;VA;3/26/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311115.pdf#
First Bank of Alabama;AL;3/27/2019;Electronic;Banking/Credit/Financial;8,700;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-310519.pdf#
Ardent Technologies;OH;4/2/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311131.pdf#
Resideo Technologies Inc.;TX;4/2/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311108.pdf#
MetaBank (service provider FSV Payment Solutions);SD;4/4/2019;Electronic;Banking/Credit/Financial;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311139.pdf#
Access Intelligence LLC;MD;4/5/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311138.pdf#
Main Street America Group (third-party SEI Private Trust Company);FL;4/6/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311751.pdf#
Corning;NY;4/11/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311707.pdf#
NetCentrics Corporation;VA;4/9/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311703.pdf#
Kingman Regional Medical Center;AZ;6/7/2019;Electronic;Medical/Healthcare;1,100;www.azkrmc.com;#https://www.azkrmc.com/A%20NOTICE%20TO%20OUR%20PATIENTS%20-%20KHI%20Sub%20Notice.pdf#
Rosenbaum Dental Group;FL;6/4/2019;Electronic;Medical/Healthcare;1,200;rosenbaumdentalgroup.com;#https://rosenbaumdentalgroup.com/#
Monroe County Hospital (vendor Navicent Health);GA;5/25/2019;Electronic;Medical/Healthcare;10,970;www.monroehospital.org;#http://www.monroehospital.org/docs/Substitute_Notice.pdf?sub=Static#
U.S. Customs and Border Protection;DC;6/10/2019;Electronic;Government/Military;Unknown;www.cnet.com;#https://www.cnet.com/news/us-customs-and-border-protection-says-traveler-images-were-taken-in-subcontractor-cyb
OneMain Financial (reported on 4/12/2019);IN;4/12/2019;Electronic;Banking/Credit/Financial;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311706.pdf#
Assemblers, Inc.;TN;4/15/2019;Electronic;Business;3,047;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311716%20(1).pdf#
Grimm and Parker Architecture, Inc.;MD;4/15/2019;Electronic;Business;103;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311715%20(1).pdf#
New Braunfels Regional Rehabilitation Hospital (Ernest Health);TX;4/15/2019;Electronic;Medical/Healthcare;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311719.pdf#
Annette Willis Insurance Agency, LLC;FL;4/17/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311724.pdf#
B'nai B'rith Youth Organization (BBYO);DC;4/22/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-310504.pdf#
Scott Associates, CPA's;ME;4/25/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-310640.pdf#
Midmark Corporation - Veterinary Benchmarking service;OH;4/25/2019;Electronic;Business;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-310630.pdf#
Township of Lakewood;NJ;4/26/2019;Electronic;Government/Military;Unknown;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311736.pdf#
Oneida Group, Inc.;OH;4/29/2019;Electronic;Business;1,586;www.marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311742.pdf#
